package,source,version,r_version,assessment_date,rating
PMA,CRAN,1.2-3,4.3.1,2023-11-27,low
PRROC,CRAN,1.3.1,4.3.1,2023-11-27,low
PerformanceAnalytics,CRAN,2.0.4,4.3.1,2023-11-27,low
PolynomF,CRAN,2.0-8,4.3.1,2023-11-27,low
PopED,CRAN,0.6.0,4.3.1,2023-11-27,low
PowerTOST,CRAN,1.5-6,4.3.1,2024-06-06,medium
PreciseSums,CRAN,0.6,4.3.1,2023-11-27,low
Publish,CRAN,2023.01.17,4.3.1,2023-11-27,low
QuickJSR,CRAN,1.2.2,4.3.1,2023-11-27,low
R.cache,CRAN,0.16.0,4.3.1,2023-11-27,low
R.methodsS3,CRAN,1.8.2,4.3.1,2023-11-27,low
R.oo,CRAN,1.26.0,4.3.1,2023-11-27,low
R.utils,CRAN,2.12.3,4.3.1,2023-11-27,low
R2HTML,CRAN,2.3.4,4.3.1,2023-11-27,low
R2OpenBUGS,CRAN,3.2-3.2.1,4.3.1,2023-11-27,low
R2WinBUGS,CRAN,2.1-22.1,4.3.1,2023-11-27,low
R2jags,CRAN,0.8-5,4.3.1,2023-11-27,low
R6,CRAN,2.5.1,4.3.1,2023-11-27,low
RANN,CRAN,2.6.1,4.3.1,2023-11-27,low
RApiSerialize,CRAN,0.1.3,4.3.1,2023-11-27,low
RBGL,CRAN,1.78.0,4.3.1,2023-11-27,low
RBesT,CRAN,1.7-3,4.3.1,2023-11-27,medium
RColorBrewer,CRAN,1.1-3,4.3.1,2023-11-27,low
RCurl,CRAN,1.98-1.14,4.3.1,2023-11-27,low
RISCA,CRAN,1.0.5,4.3.1,2024-03-27,low
RItools,CRAN,0.3-4,4.3.1,2023-11-27,medium
RJSONIO,CRAN,1.3-1.9,4.3.1,2023-11-27,low
RMariaDB,CRAN,1.3.1,4.3.1,2023-11-27,low
ROCR,CRAN,1.0-11,4.3.1,2023-11-27,low
ROracle,CRAN,1.3-1.1,4.3.1,2023-11-27,medium
RPMG,CRAN,2.2-7,4.3.1,2023-11-27,low
RPostgres,CRAN,1.4.7,4.3.1,2023-11-27,low
RProtoBufLib,BIOC,2.14.1,4.3.1,2023-11-27,low
