package,source,version,r_version,assessment_date,rating
future.apply,CRAN,1.11.2,4.3.1,2023-11-27,low
future.callr,CRAN,0.8.2,4.3.1,2023-11-27,medium
gMCP,CRAN,0.8-17,4.3.1,2023-11-27,low
gam,CRAN,1.22-3,4.3.1,2023-11-27,low
gamm4,CRAN,0.2-6,4.3.1,2023-11-27,low
gargle,CRAN,1.5.2,4.3.1,2023-11-27,low
gbm,CRAN,2.1.9,4.3.1,2023-11-27,low
gclus,CRAN,1.3.2,4.3.1,2023-11-27,low
gdata,CRAN,3.0.0,4.3.1,2023-11-27,low
gdtools,CRAN,0.3.7,4.3.1,2023-11-27,low
geeM,CRAN,0.10.1,4.3.1,2024-05-31,low
geeasy,CRAN,0.1.2,4.3.1,2024-05-31,low
geepack,CRAN,1.3.11,4.3.1,2024-05-31,low
geigen,CRAN,2.3,4.3.1,2023-11-27,low
gemtc,CRAN,1.0-2,4.3.1,2023-11-27,medium
generics,CRAN,0.1.3,4.3.1,2023-11-27,low
gert,CRAN,2.0.1,4.3.1,2023-11-27,low
getPass,CRAN,0.2-4,4.3.1,2023-11-27,low
getip,CRAN,0.1-4,4.3.1,2023-11-27,low
gfonts,CRAN,0.2.0,4.3.1,2023-11-27,low
ggExtra,CRAN,0.10.1,4.3.1,2023-11-27,low
ggPMX,CRAN,1.2.11,4.3.1,2023-11-27,medium
ggalluvial,CRAN,0.12.5,4.3.1,2023-11-27,low
ggbreak,CRAN,0.1.2,4.3.1,2023-11-27,medium
ggcyto,BIOC,1.30.2,4.3.1,2023-11-27,medium
ggdag,CRAN,0.2.12,4.3.1,2023-11-27,medium
ggdendro,CRAN,0.2.0,4.3.1,2023-11-27,low
ggdist,CRAN,3.3.2,4.3.1,2023-11-27,low
ggeffects,CRAN,1.6.0,4.3.1,2024-04-17,low
ggforce,CRAN,0.4.2,4.3.1,2023-11-27,low
ggformula,CRAN,0.12.0,4.3.1,2024-05-31,low
ggfortify,CRAN,0.4.17,4.3.1,2023-11-27,low
ggfun,CRAN,0.1.5,4.3.1,2023-11-27,low
gghalves,CRAN,0.1.4,4.3.1,2023-11-27,low
gghighlight,CRAN,0.4.1,4.3.1,2023-11-27,low
ggimage,CRAN,0.3.3,4.3.1,2023-11-27,low
ggiraph,CRAN,0.8.10,4.3.1,2024-04-17,low
ggiraphExtra,CRAN,0.3.0,4.3.1,2024-04-17,medium
ggm,CRAN,2.5.1,4.3.1,2023-11-27,low
ggmosaic,CRAN,0.3.3,4.3.1,2023-11-27,medium
ggnewscale,CRAN,0.4.10,4.3.1,2023-11-27,low
ggpattern,CRAN,1.1.1,4.3.1,2023-11-27,low
ggplot2,CRAN,3.5.1,4.3.1,2023-11-27,low
ggplot2.utils,CRAN,0.3.1,4.3.1,2024-05-31,medium
ggplotify,CRAN,0.1.2,4.3.1,2023-11-27,low
ggpmisc,CRAN,0.5.6,4.3.1,2023-11-27,low
ggpp,CRAN,0.5.7,4.3.1,2023-11-27,low
ggpubr,CRAN,0.6.0,4.3.1,2023-11-27,low
ggraph,CRAN,2.2.1,4.3.1,2023-11-27,low
ggrepel,CRAN,0.9.5,4.3.1,2023-11-27,low
ggridges,CRAN,0.5.6,4.3.1,2023-11-27,low
ggsci,CRAN,3.2.0,4.3.1,2023-11-27,low
ggsignif,CRAN,0.6.4,4.3.1,2023-11-27,low
ggstance,CRAN,0.3.7,4.3.1,2024-04-17,low
ggstats,CRAN,0.6.0,4.3.1,2024-04-17,low
ggsurvfit,CRAN,1.1.0,4.3.1,2023-11-27,low
ggtext,CRAN,0.1.2,4.3.1,2023-11-27,low
ggthemes,CRAN,5.1.0,4.3.1,2023-11-27,low
gh,CRAN,1.4.1,4.3.1,2023-11-27,low
git2r,CRAN,0.33.0,4.3.1,2023-11-27,low
gitcreds,CRAN,0.1.2,4.3.1,2023-11-27,low
gld,CRAN,2.6.6,4.3.1,2023-11-27,low
glmmTMB,CRAN,1.1.9,4.3.1,2023-11-27,low
glmnet,CRAN,4.1-8,4.3.1,2023-11-27,low
globals,CRAN,0.16.3,4.3.1,2023-11-27,low
glue,CRAN,1.7.0,4.3.1,2023-11-27,low
gmodels,CRAN,2.19.1,4.3.1,2023-11-27,low
gmp,CRAN,0.7-4,4.3.1,2023-11-27,low
golem,CRAN,0.4.1,4.3.1,2023-11-27,low
googledrive,CRAN,2.1.1,4.3.1,2023-11-27,low
googlesheets4,CRAN,1.1.1,4.3.1,2023-11-27,low
gower,CRAN,1.0.1,4.3.1,2023-11-27,low
gplots,CRAN,3.1.3.1,4.3.1,2023-11-27,low
grDevices,other,4.3.1,4.3.1,2023-11-27,low
graph,CRAN,1.80.0,4.3.1,2023-11-27,low
graphics,other,4.3.1,4.3.1,2023-11-27,low
graphlayouts,CRAN,1.1.1,4.3.1,2023-11-27,low
grf,CRAN,2.3.2,4.3.1,2023-11-27,low
grid,CRAN,4.3.1,4.3.1,2023-11-27,low
gridExtra,CRAN,2.3,4.3.1,2023-11-27,low
gridGraphics,CRAN,0.5-1,4.3.1,2023-11-27,low
gridpattern,CRAN,1.2.2,4.3.1,2023-11-27,low
gridtext,CRAN,0.1.5,4.3.1,2023-11-27,low
grr,CRAN,0.9.5,4.3.1,2023-11-27,medium
gsDesign,CRAN,3.6.2,4.3.1,2023-11-27,medium
gsbDesign,CRAN,1.0-3,4.3.1,2023-11-27,medium
gscounts,CRAN,0.1-4,4.3.1,2023-11-27,medium
gsl,CRAN,2.1-8,4.3.1,2023-11-27,low
gsm,other,1.9.2,4.3.1,2024-03-06,medium
gss,CRAN,2.2-7,4.3.1,2023-11-27,low
gt,CRAN,0.10.1,4.3.1,2023-11-27,low
gtable,CRAN,0.3.5,4.3.1,2023-11-27,low
gto,CRAN,0.1.1,4.3.1,2023-11-27,low
gtools,CRAN,3.9.5,4.3.1,2023-11-27,low
gtsummary,CRAN,1.7.2,4.3.1,2023-11-27,low
hardhat,CRAN,1.4.0,4.3.1,2023-11-27,low
haven,CRAN,2.5.4,4.3.1,2023-11-27,low
hdrcde,CRAN,3.4,4.3.1,2023-12-04,low
heatmaply,CRAN,1.5.0,4.3.1,2023-11-27,low
here,CRAN,1.0.1,4.3.1,2023-11-27,low
hexSticker,CRAN,0.4.9,4.3.1,2023-11-27,low
hexbin,CRAN,1.28.3,4.3.1,2023-11-27,low
highr,CRAN,0.11,4.3.1,2023-11-27,low
hms,CRAN,1.1.3,4.3.1,2023-11-27,low
htmlTable,CRAN,2.4.2,4.3.1,2023-11-27,low
htmltools,CRAN,0.5.8.1,4.3.1,2023-11-27,low
htmlwidgets,CRAN,1.6.4,4.3.1,2023-11-27,low
httpcode,CRAN,0.3.0,4.3.1,2023-11-27,low
httpgd,CRAN,2.0.2,4.3.1,2023-11-27,medium
httpuv,CRAN,1.6.15,4.3.1,2023-11-27,low
httr,CRAN,1.4.7,4.3.1,2023-11-27,low
httr2,CRAN,1.0.1,4.3.1,2023-11-27,low
hunspell,CRAN,3.0.3,4.3.1,2023-11-27,low
huxtable,CRAN,5.5.6,4.3.1,2023-11-27,low
ids,CRAN,1.0.1,4.3.1,2023-11-27,low
igraph,CRAN,2.0.3,4.3.1,2023-11-27,low
import,CRAN,1.3.2,4.3.1,2024-04-17,low
impute,CRAN,1.76.0,4.3.1,2023-11-27,low
infer,CRAN,1.0.7,4.3.1,2023-11-27,low
influenceR,CRAN,0.1.5,4.3.1,2023-11-27,medium
ini,CRAN,0.3.1,4.3.1,2023-11-27,low
inline,CRAN,0.3.19,4.3.1,2023-11-27,low
insight,CRAN,0.20.1,4.3.1,2023-11-27,low
interp,CRAN,1.1-6,4.3.1,2023-11-27,low
inum,CRAN,1.0-5,4.3.1,2023-11-27,low
invgamma,CRAN,1.1,4.3.1,2023-11-27,low
ipred,CRAN,0.9-14,4.3.1,2023-11-27,low
irlba,CRAN,2.3.5.1,4.3.1,2023-11-27,low
irr,CRAN,0.84.1,4.3.1,2023-11-27,low
isoband,CRAN,0.2.7,4.3.1,2023-11-27,low
iterators,CRAN,1.0.14,4.3.1,2023-11-27,low
itertools,CRAN,0.1-3,4.3.1,2023-11-27,low
jagsUI,CRAN,1.6.2,4.3.1,2023-11-27,low
janitor,CRAN,2.2.0,4.3.1,2023-11-27,low
jomo,CRAN,2.7-6,4.3.1,2023-11-27,low
jose,CRAN,1.2.0,4.3.1,2023-11-27,low
jpeg,CRAN,0.1-10,4.3.1,2023-11-27,low
jquerylib,CRAN,0.1.4,4.3.1,2023-11-27,low
jsonlite,CRAN,1.8.8,4.3.1,2023-11-27,low
jsonvalidate,CRAN,1.3.2,4.3.1,2024-04-13,low
juicyjuice,CRAN,0.1.0,4.3.1,2023-11-27,low
kableExtra,CRAN,1.4.0,4.3.1,2023-11-27,low
kernlab,CRAN,0.9-32,4.3.1,2023-11-27,low
kinship2,CRAN,1.9.6.1,4.3.1,2024-05-31,low
kit,CRAN,0.0.18,4.3.1,2023-11-27,medium
kknn,CRAN,1.3.1,4.3.1,2023-11-27,low
km.ci,CRAN,0.5-6,4.3.1,2023-11-27,low
knitr,CRAN,1.47,4.3.1,2023-11-27,low
knockoff,CRAN,0.3.6,4.3.1,2023-11-27,high
ks,CRAN,1.14.2,4.3.1,2023-11-27,low
labdsv,CRAN,2.1-0,4.3.1,2023-11-27,low
labeling,CRAN,0.4.3,4.3.1,2023-11-27,low
labelled,CRAN,2.13.0,4.3.1,2023-11-27,low
languageserver,CRAN,0.3.16,4.3.1,2023-11-27,medium
later,CRAN,1.3.2,4.3.1,2023-11-27,low
latex2exp,CRAN,0.9.6,4.3.1,2023-11-27,low
lattice,CRAN,0.22-6,4.3.1,2023-11-27,low
lattice,CRAN,0.22-6,4.3.1,2023-11-27,low
latticeExtra,CRAN,0.6-30,4.3.1,2023-11-27,low
lava,CRAN,1.8.0,4.3.1,2023-11-27,low
lavaan,CRAN,0.6-18,4.3.1,2023-11-27,low
lazyeval,CRAN,0.2.2,4.3.1,2023-11-27,low
lbfgsb3c,CRAN,2024-3.4,4.3.1,2023-11-27,low
leaps,CRAN,3.2,4.3.1,2023-11-27,low
learnr,CRAN,0.11.5,4.3.1,2023-11-27,low
lgr,CRAN,0.4.4,4.3.1,2023-11-27,low
lhs,CRAN,1.1.6,4.3.1,2023-11-27,low
libcoin,CRAN,1.0-10,4.3.1,2023-11-27,low
libr,CRAN,1.3.3,4.3.1,2024-04-17,medium
lifecycle,CRAN,1.0.4,4.3.1,2023-11-27,low
lightgbm,CRAN,4.4.0,4.3.1,2023-11-27,low
limma,CRAN,3.58.1,4.3.1,2023-11-27,low
lintr,CRAN,3.1.2,4.3.1,2023-11-27,low
listenv,CRAN,0.9.1,4.3.1,2023-11-27,low
lme4,CRAN,1.1-35.3,4.3.1,2023-11-27,low
lmerTest,CRAN,3.1-3,4.3.1,2023-11-27,low
lmodel2,CRAN,1.7-3,4.3.1,2023-11-27,low
lmom,CRAN,3,4.3.1,2023-11-27,low
lmtest,CRAN,0.9-40,4.3.1,2023-11-27,low
lobstr,CRAN,1.1.2,4.3.1,2023-11-27,low
locfit,CRAN,1.5-9.9,4.3.1,2023-11-27,low
logger,CRAN,0.3.0,4.3.1,2024-04-17,low
logistf,CRAN,1.26.0,4.3.1,2023-11-27,low
logr,CRAN,1.3.8,4.3.1,2024-04-17,medium
longitudinalData,CRAN,2.4.5.1,4.3.1,2023-11-27,low
loo,CRAN,2.7.0,4.3.1,2023-11-27,low
lotri,CRAN,0.4.3,4.3.1,2023-11-27,low
lpSolve,CRAN,5.6.20,4.3.1,2023-11-27,low
lubridate,CRAN,1.9.3,4.3.1,2023-11-27,low
magic,CRAN,1.6-1,4.3.1,2023-11-27,low
magick,CRAN,2.8.3,4.3.1,2023-11-27,low
magrittr,CRAN,2.0.3,4.3.1,2023-11-27,low
maicChecks,CRAN,0.1.2,4.3.1,2023-11-27,medium
manipulateWidget,CRAN,0.11.1,4.3.1,2023-11-27,low
maotai,CRAN,0.2.5,4.3.1,2023-11-27,low
maps,CRAN,3.4.2,4.3.1,2023-11-27,low
maptree,CRAN,1.4-8,4.3.1,2023-11-27,low
marginaleffects,CRAN,0.21.0,4.3.1,2023-11-27,medium
margins,CRAN,0.3.27,4.3.1,2023-11-27,medium
markdown,CRAN,1.13,4.3.1,2023-11-27,low
marquee,CRAN,0.1.0,4.3.1,2024-05-30,low
mathjaxr,CRAN,1.6-0,4.3.1,2023-11-27,low
matlib,CRAN,0.9.6,4.3.1,2023-11-27,low
matrixStats,CRAN,1.3.0,4.3.1,2023-11-27,low
maxstat,CRAN,0.7-25,4.3.1,2023-11-27,low
mboost,CRAN,2.9-10,4.3.1,2023-11-27,low
mclogit,CRAN,0.9.6,4.3.1,2023-11-27,medium
mclust,CRAN,6.1.1,4.3.1,2023-11-27,low
mclustcomp,CRAN,0.3.3,4.3.1,2023-11-27,low
mcmc,CRAN,0.9-8,4.3.1,2023-11-27,low
mda,CRAN,0.5-4,4.3.1,2023-11-27,low
memisc,CRAN,0.99.31.7,4.3.1,2023-11-27,low
memoise,CRAN,2.0.1,4.3.1,2023-11-27,low
metR,CRAN,0.15.0,4.3.1,2023-11-27,low
meta,CRAN,7.0-0,4.3.1,2023-11-27,low
metacore,CRAN,0.1.3,4.3.1,2023-11-27,medium
metadat,CRAN,1.2-0,4.3.1,2023-11-27,low
metafor,CRAN,4.6-0,4.3.1,2023-11-27,low
metatools,CRAN,0.1.5,4.3.1,2023-11-27,low
methods,other,4.3.1,4.3.1,2023-11-27,low
mets,CRAN,1.3.4,4.3.1,2023-11-27,low
mgcv,CRAN,1.9-1,4.3.1,2023-11-27,low
mgcv,CRAN,1.9-1,4.3.1,2023-11-27,low
mice,CRAN,3.16.0,4.3.1,2023-11-27,low
microbenchmark,CRAN,1.4.10,4.3.1,2023-11-27,low
mime,CRAN,0.12,4.3.1,2023-11-27,low
miniUI,CRAN,0.1.1.1,4.3.1,2023-11-27,low
minpack.lm,CRAN,1.2-4,4.3.1,2023-11-27,low
minqa,CRAN,1.2.7,4.3.1,2023-11-27,low
mirai,CRAN,1.1.0,4.3.1,2023-11-27,medium
misc3d,CRAN,0.9-1,4.3.1,2023-11-27,low
missForest,CRAN,1.5,4.3.1,2023-11-27,low
mitml,CRAN,0.4-5,4.3.1,2023-11-27,low
mitools,CRAN,2.4,4.3.1,2023-11-27,low
mlbench,CRAN,2.1-5,4.3.1,2023-11-27,low
mlogit,CRAN,1.1-1,4.3.1,2023-11-27,low
mlr3,CRAN,0.19.0,4.3.1,2023-11-27,low
mlr3measures,CRAN,0.5.0,4.3.1,2023-11-27,low
mlr3misc,CRAN,0.15.0,4.3.1,2023-11-27,low
mmrm,CRAN,0.3.11,4.3.1,2023-11-27,medium
mnormt,CRAN,2.1.1,4.3.1,2023-11-27,low
mockery,CRAN,0.4.4,4.3.1,2023-11-27,low
modelbased,CRAN,0.8.8,4.3.1,2023-11-27,medium
modeldata,CRAN,1.3.0,4.3.1,2023-11-27,low
modelenv,CRAN,0.1.1,4.3.1,2023-11-27,low
modelr,CRAN,0.1.11,4.3.1,2023-11-27,low
modeltools,CRAN,0.2-23,4.3.1,2023-11-27,low
mosaic,CRAN,1.9.1,4.3.1,2024-08-05,low
mosaicCore,CRAN,0.9.4.0,4.3.1,2024-05-31,low
mosaicData,CRAN,0.20.4,4.3.1,2024-08-05,low
mrgsolve,CRAN,1.4.1,4.3.1,2023-11-27,low
msm,CRAN,1.7.1,4.3.1,2023-11-27,low
mstate,CRAN,0.3.2,4.3.1,2023-11-27,low
muhaz,CRAN,1.2.6.4,4.3.1,2023-11-27,low
multcomp,CRAN,1.4-25,4.3.1,2023-11-27,low
multcompView,CRAN,0.1-10,4.3.1,2023-11-27,low
multicool,CRAN,1.0.1,4.3.1,2023-12-04,low
multinma,CRAN,0.7.1,4.3.1,2023-11-27,medium
munsell,CRAN,0.5.1,4.3.1,2023-11-27,low
mvtnorm,CRAN,1.2-5,4.3.1,2023-11-27,low
mycor,CRAN,0.1.1,4.3.1,2024-04-17,medium
n1qn1,CRAN,6.0.1-11,4.3.1,2023-11-27,low
naniar,CRAN,1.1.0,4.3.1,2023-11-27,medium
nanonext,CRAN,1.1.0,4.3.1,2023-11-27,low
narray,CRAN,0.5.1,4.3.1,2023-11-27,low
naturalsort,CRAN,0.1.3,4.3.1,2023-11-27,low
ncappc,CRAN,0.3.0,4.3.1,2023-11-27,low
ncdfFlow,BIOC,2.48.0,4.3.1,2023-11-27,low
ncvreg,CRAN,3.14.2,4.3.1,2024-05-30,low
nestcolor,CRAN,0.1.2,4.3.1,2024-05-31,medium
netmeta,CRAN,2.9-0,4.3.1,2023-11-27,low
networkD3,CRAN,0.4,4.3.1,2024-04-17,low
neuralnet,CRAN,1.44.2,4.3.1,2023-11-27,low
nimble,CRAN,1.2.0,4.3.1,2024-05-30,low
nleqslv,CRAN,3.3.5,4.3.1,2023-11-27,low
nlme,CRAN,3.1-165,4.3.1,2023-11-27,low
nlme,CRAN,3.1-164,4.3.1,2023-11-27,low
nlmixr2,CRAN,2.1.2,4.3.1,2023-11-27,medium
nlmixr2data,CRAN,2.0.9,4.3.1,2023-11-27,low
nlmixr2est,CRAN,2.2.2,4.3.1,2023-11-27,low
nlmixr2extra,CRAN,2.0.10,4.3.1,2023-11-27,medium
nlmixr2lib,CRAN,0.2.0,4.3.1,2023-11-27,low
nlmixr2plot,CRAN,2.0.9,4.3.1,2023-11-27,low
nlmixr2rpt,CRAN,0.2.0,4.3.1,2023-11-27,low
nloptr,CRAN,2.0.3,4.3.1,2023-11-27,low
nls2,CRAN,0.3-3,4.3.1,2024-04-17,low
nnet,CRAN,7.3-19,4.3.1,2023-11-27,low
nnet,CRAN,7.3-19,4.3.1,2023-11-27,low
nnls,CRAN,1.5,4.3.1,2023-11-27,low
nonmem2rx,CRAN,0.1.4,4.3.1,2023-11-27,medium
nonnest2,CRAN,0.5-7,4.3.1,2023-11-27,low
norm,CRAN,1.0-11.1,4.3.1,2023-11-27,low
nortest,CRAN,1.0-4,4.3.1,2023-11-27,low
nphRCT,CRAN,0.1.0,4.3.1,2023-11-27,medium
numDeriv,CRAN,2016.8-1.1,4.3.1,2023-11-27,low
numbers,CRAN,0.8-5,4.3.1,2023-11-27,low
officedown,CRAN,0.3.1,4.3.1,2024-04-17,medium
officer,CRAN,0.6.6,4.3.1,2023-11-27,low
onbrand,CRAN,1.0.5,4.3.1,2023-11-27,low
openCyto,BIOC,2.14.0,4.3.1,2023-11-27,medium
openssl,CRAN,2.2.0,4.3.1,2023-11-27,low
openxlsx,CRAN,4.2.5.2,4.3.1,2023-11-27,low
operator.tools,CRAN,1.6.3,4.3.1,2023-11-27,low
optextras,CRAN,2019-12.4,4.3.1,2023-11-27,medium
optimx,CRAN,2023-10.21,4.3.1,2023-11-27,low
optmatch,CRAN,0.10.7,4.3.1,2023-11-27,medium
ordinal,CRAN,2023.12-4,4.3.1,2023-11-27,low
osqp,CRAN,0.6.3.3,4.3.1,2023-11-27,low
outliers,CRAN,0.15,4.3.1,2024-04-17,low
overlapping,CRAN,2.1,4.3.1,2023-11-27,low
pROC,CRAN,1.18.5,4.3.1,2023-11-27,low
packrat,CRAN,0.9.2,4.3.1,2023-11-27,low
pacman,CRAN,0.5.1,4.3.1,2023-11-27,low
pak,CRAN,0.7.2,4.3.1,2023-11-27,medium
palmerpenguins,CRAN,0.1.1,4.3.1,2023-11-27,low
pammtools,CRAN,0.5.93,4.3.1,2024-04-17,low
pan,CRAN,1.9,4.3.1,2023-11-27,low
pander,CRAN,0.6.5,4.3.1,2023-11-27,low
paradox,CRAN,1.0.0,4.3.1,2023-11-27,low
parallel,other,4.3.1,4.3.1,2023-11-27,low
parallelly,CRAN,1.37.1,4.3.1,2023-11-27,low
parameters,CRAN,0.21.7,4.3.1,2023-11-27,low
parsedate,CRAN,1.3.1,4.3.1,2023-11-27,low
parsnip,CRAN,1.2.1,4.3.1,2023-11-27,low
party,CRAN,1.3-15,4.3.1,2023-11-27,low
partykit,CRAN,1.2-20,4.3.1,2023-11-27,low
patchwork,CRAN,1.2.0,4.3.1,2023-11-27,low
pbapply,CRAN,1.7-2,4.3.1,2023-11-27,low
pbivnorm,CRAN,0.6.0,4.3.1,2023-11-27,low
pbkrtest,CRAN,0.5.2,4.3.1,2023-11-27,low
pcaPP,CRAN,2.0-4,4.3.1,2023-11-27,low
pcalg,CRAN,2.7-11,4.3.1,2023-11-27,low
pdftools,CRAN,3.4.0,4.3.1,2023-11-27,low
pec,CRAN,2023.04.12,4.3.1,2023-11-27,low
performance,CRAN,0.12.0,4.3.1,2023-11-27,low
perm,CRAN,1.0-0.4,4.3.1,2023-11-27,low
permimp,CRAN,1.0-2,4.3.1,2023-11-27,medium
permute,CRAN,0.9-7,4.3.1,2023-11-27,low
pharmaRTF,CRAN,0.1.4,4.3.1,2023-11-27,low
phosphoricons,CRAN,0.2.1,4.3.1,2023-11-27,low
pillar,CRAN,1.9.0,4.3.1,2023-11-27,low
pingr,CRAN,2.0.3,4.3.1,2023-11-27,low
pins,CRAN,1.3.0,4.3.1,2023-11-27,medium
pipeR,CRAN,0.6.1.3,4.3.1,2023-11-27,low
pkgbuild,CRAN,1.4.4,4.3.1,2023-11-27,low
pkgconfig,CRAN,2.0.3,4.3.1,2023-11-27,low
pkgdown,CRAN,2.0.9,4.3.1,2023-11-27,low
pkglite,CRAN,0.2.2,4.3.1,2024-04-17,medium
pkgload,CRAN,1.3.4,4.3.1,2023-11-27,low
pkgsearch,CRAN,3.1.3,4.3.1,2023-11-27,medium
plogr,CRAN,0.2.0,4.3.1,2023-11-27,low
plot3D,CRAN,1.4.1,4.3.1,2023-11-27,low
plotly,CRAN,4.10.4,4.3.1,2023-11-27,low
plotmo,CRAN,3.6.3,4.3.1,2023-11-27,low
plotrix,CRAN,3.8-4,4.3.1,2023-11-27,low
pls,CRAN,2.8-3,4.3.1,2023-11-27,low
plumber,CRAN,1.2.2,4.3.1,2023-11-27,low
plyr,CRAN,1.8.9,4.3.1,2023-11-27,low
png,CRAN,0.1-8,4.3.1,2023-11-27,low
polspline,CRAN,1.1.25,4.3.1,2023-11-27,low
polyclip,CRAN,1.10-6,4.3.1,2023-11-27,low
polycor,CRAN,0.8-1,4.3.1,2023-11-27,low
polynom,CRAN,1.4-1,4.3.1,2023-11-27,low
posterior,CRAN,1.5.0,4.3.1,2023-11-27,low
ppcor,CRAN,1.1,4.3.1,2024-04-17,low
prabclus,CRAN,2.3-3,4.3.1,2023-11-27,low
pracma,CRAN,2.4.4,4.3.1,2023-11-27,low
praise,CRAN,1.0.0,4.3.1,2023-11-27,low
prediction,CRAN,0.3.18,4.3.1,2023-11-27,low
predint,CRAN,2.2.1,4.3.1,2023-11-27,medium
preprocessCore,BIOC,1.64.0,4.3.1,2023-11-27,low
prettydoc,CRAN,0.4.1,4.3.1,2023-11-27,low
prettyunits,CRAN,1.2.0,4.3.1,2023-11-27,low
processx,CRAN,3.8.4,4.3.1,2023-11-27,low
prodlim,CRAN,2023.08.28,4.3.1,2023-11-27,low
productplots,CRAN,0.1.1,4.3.1,2023-11-27,low
profvis,CRAN,0.3.8,4.3.1,2023-11-27,low
progress,CRAN,1.2.3,4.3.1,2023-11-27,low
progressr,CRAN,0.14.0,4.3.1,2023-11-27,low
projpred,CRAN,2.8.0,4.3.1,2023-11-27,low
promises,CRAN,1.3.0,4.3.1,2023-11-27,low
proto,CRAN,1.0.0,4.3.1,2024-04-17,low
proxy,CRAN,0.4-27,4.3.1,2023-11-27,low
pryr,CRAN,0.1.6,4.3.1,2023-11-27,low
ps,CRAN,1.7.6,4.3.1,2023-11-27,low
pscl,CRAN,1.5.9,4.3.1,2023-11-27,low
pspline,CRAN,1.0-20,4.3.1,2023-11-27,low
psych,CRAN,2.4.3,4.3.1,2023-11-27,low
purrr,CRAN,1.0.2,4.3.1,2023-11-27,low
pwr,CRAN,1.3-0,4.3.1,2023-11-27,low
qap,CRAN,0.1-2,4.3.1,2023-11-27,low
qpdf,CRAN,1.3.3,4.3.1,2023-11-27,low
qs,CRAN,0.26.3,4.3.1,2023-11-27,low
quadprog,CRAN,1.5-8,4.3.1,2023-11-27,low
quantreg,CRAN,5.98,4.3.1,2023-11-27,low
quarto,CRAN,1.4,4.3.1,2023-11-27,low
r2d3,CRAN,0.2.6,4.3.1,2024-04-22,low
r2rtf,CRAN,1.1.1,4.3.1,2023-11-27,low
rJava,CRAN,1.0-11,4.3.1,2023-11-27,low
radarchart,CRAN,0.3.1,4.3.1,2023-11-27,low
ragg,CRAN,1.3.2,4.3.1,2023-11-27,low
rainbow,CRAN,3.8,4.3.1,2023-12-04,low
random.cdisc.data,CRAN,0.3.15,4.3.1,2024-05-31,low
randomForest,CRAN,4.7-1.1,4.3.1,2023-11-27,low
randomForestSRC,CRAN,3.2.3,4.3.1,2023-11-27,low
randtoolbox,CRAN,2.0.4,4.3.1,2023-11-27,low
ranger,CRAN,0.16.0,4.3.1,2023-11-27,low
rappdirs,CRAN,0.3.3,4.3.1,2023-11-27,low
rapportools,CRAN,1.1,4.3.1,2023-11-27,low
rbibutils,CRAN,2.2.16,4.3.1,2023-11-27,low
rbmi,CRAN,1.2.6,4.3.1,2023-11-27,medium
rcmdcheck,CRAN,1.4.0,4.3.1,2023-11-27,low
reactR,CRAN,0.5.0,4.3.1,2023-11-27,low
reactable,CRAN,0.4.4,4.3.1,2023-11-27,low
reactlog,CRAN,1.1.1,4.3.1,2023-11-27,low
readbitmap,CRAN,0.1.5,4.3.1,2023-11-27,low
readr,CRAN,2.1.5,4.3.1,2023-11-27,low
readxl,CRAN,1.4.3,4.3.1,2023-11-27,low
recipes,CRAN,1.0.10,4.3.1,2023-11-27,low
reda,CRAN,0.5.4,4.3.1,2023-11-27,medium
registry,CRAN,0.5-1,4.3.1,2023-11-27,low
relsurv,CRAN,2.2-9,4.3.1,2024-04-17,medium
rematch,CRAN,2.0.0,4.3.1,2023-11-27,low
rematch2,CRAN,2.1.2,4.3.1,2023-11-27,low
remotes,CRAN,2.5.0,4.3.1,2023-11-27,low
renv,CRAN,1.0.7,4.3.1,2023-11-27,low
report,CRAN,0.5.8,4.3.1,2023-11-27,medium
reporter,CRAN,1.4.4,4.3.1,2024-04-17,medium
repr,CRAN,1.1.7,4.3.1,2023-11-27,low
reprex,CRAN,2.1.0,4.3.1,2023-11-27,low
reshape,CRAN,0.8.9,4.3.1,2023-11-27,low
reshape2,CRAN,1.4.4,4.3.1,2023-11-27,low
reticulate,CRAN,1.37.0,4.3.1,2023-11-27,low
rex,CRAN,1.2.1,4.3.1,2023-11-27,low
rgenoud,CRAN,5.9-0.10,4.3.1,2023-11-27,low
rgl,CRAN,1.3.1,4.3.1,2023-11-27,low
rhandsontable,CRAN,0.3.8,4.3.1,2023-11-27,low
rio,CRAN,1.1.1,4.3.1,2023-11-27,low
riskRegression,CRAN,2023.12.21,4.3.1,2023-11-27,low
riskmetric,CRAN,0.2.4,4.3.1,2023-11-27,medium
rjags,CRAN,15-Apr,4.3.1,2023-11-27,low
rjson,CRAN,0.2.21,4.3.1,2023-11-27,low
rlang,CRAN,1.1.4,4.3.1,2023-11-27,low
rlemon,CRAN,0.2.1,4.3.1,2023-11-27,low
rlist,CRAN,0.4.6.2,4.3.1,2023-11-27,low
rlistings,CRAN,0.2.8,4.3.1,2024-05-31,low
rmarkdown,CRAN,2.27,4.3.1,2023-11-27,low
rmeta,CRAN,3,4.3.1,2023-11-27,low
rminer,CRAN,1.4.6,4.3.1,2023-11-27,low
rms,CRAN,6.8-1,4.3.1,2023-11-27,low
rngWELL,CRAN,0.10-9,4.3.1,2023-11-27,low
rngtools,CRAN,1.5.2,4.3.1,2023-11-27,low
robustbase,CRAN,0.99-2,4.3.1,2023-11-27,low
